epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1470.55,0.60358,0.62436,0.88765,0.97029,0.98861,0.995,0.69736,0.99906,0.73089,1.10254,0.000533558,0.000533558,0.000533558
44,1503.08,0.57706,0.60096,0.87856,0.97617,0.96725,0.995,0.69402,0.97574,0.70127,1.09547,0.000519809,0.000519809,0.000519809
45,1534.41,0.59795,0.60909,0.89211,0.98404,0.96959,0.995,0.70258,0.94425,0.6911,1.07273,0.00050606,0.00050606,0.00050606
46,1566.02,0.59192,0.61932,0.87254,0.98394,0.97025,0.995,0.70904,0.91686,0.66511,1.04971,0.000492312,0.000492312,0.000492312
47,1598.07,0.57,0.57556,0.87916,0.97972,0.9647,0.995,0.70008,0.91262,0.6526,1.05388,0.000478563,0.000478563,0.000478563
48,1629.74,0.61136,0.60291,0.88362,0.97387,0.9787,0.995,0.68255,0.9872,0.64893,1.09755,0.000464815,0.000464815,0.000464815
49,1662.17,0.5617,0.57034,0.87213,0.96519,0.99121,0.995,0.67283,1.00765,0.64755,1.12054,0.000451066,0.000451066,0.000451066
50,1694.33,0.60201,0.58088,0.90126,0.95127,0.98306,0.995,0.68165,0.98115,0.65075,1.09811,0.000437317,0.000437317,0.000437317
51,1727.4,0.5921,0.55775,0.87193,0.95278,0.96842,0.995,0.66667,0.99812,0.65653,1.10103,0.000423569,0.000423569,0.000423569
52,1759.51,0.60912,0.56837,0.88579,0.97483,0.96669,0.995,0.66356,1.01568,0.6713,1.10591,0.00040982,0.00040982,0.00040982
53,1791.09,0.56866,0.55017,0.87413,0.96447,0.97613,0.995,0.6273,1.07066,0.69437,1.13329,0.000396071,0.000396071,0.000396071
54,1822.62,0.58663,0.56094,0.88751,0.94061,0.98286,0.995,0.58693,1.12046,0.70185,1.14892,0.000382323,0.000382323,0.000382323
55,1854.52,0.57667,0.57047,0.88779,0.96516,0.97254,0.995,0.62155,1.0643,0.68945,1.13642,0.000368574,0.000368574,0.000368574
56,1885.72,0.57852,0.5505,0.88945,0.96461,0.96933,0.995,0.59111,1.10224,0.65746,1.17238,0.000354826,0.000354826,0.000354826
57,1917.07,0.58478,0.55679,0.89769,0.96497,0.94659,0.995,0.60331,1.05959,0.65065,1.13565,0.000341077,0.000341077,0.000341077
58,1948.84,0.56499,0.53921,0.87985,0.92191,0.95655,0.995,0.65562,0.98709,0.63736,1.09269,0.000327328,0.000327328,0.000327328
59,1980.85,0.55099,0.53027,0.87919,0.88035,0.98428,0.995,0.62471,1.04977,0.65061,1.13522,0.00031358,0.00031358,0.00031358
60,2012.5,0.52778,0.51471,0.87273,0.91596,0.9718,0.962,0.62802,1.02288,0.64668,1.1114,0.000299831,0.000299831,0.000299831
61,2043.68,0.56262,0.50826,0.88084,0.93262,0.95172,0.995,0.66355,1.0017,0.64951,1.09188,0.000286083,0.000286083,0.000286083
62,2075.15,0.54377,0.49684,0.86009,0.94454,0.96053,0.995,0.64601,1.0517,0.65068,1.11418,0.000272334,0.000272334,0.000272334
63,2108.53,0.54866,0.50284,0.87584,0.95698,0.96961,0.995,0.65826,1.03486,0.62706,1.10093,0.000258585,0.000258585,0.000258585
64,2139.47,0.54563,0.49443,0.87659,0.96887,0.97368,0.995,0.64774,1.00157,0.62496,1.08645,0.000244837,0.000244837,0.000244837
65,2171.5,0.53681,0.52153,0.86572,0.97114,0.97149,0.995,0.6788,0.94228,0.59668,1.07252,0.000231088,0.000231088,0.000231088
66,2202.84,0.54193,0.49374,0.86405,0.96413,0.96254,0.995,0.65017,0.96129,0.58299,1.09462,0.000217339,0.000217339,0.000217339
67,2234.93,0.53135,0.50979,0.86253,0.95911,0.96558,0.995,0.64196,0.98344,0.57951,1.11083,0.000203591,0.000203591,0.000203591
68,2266.65,0.53033,0.49216,0.85996,0.92927,0.97441,0.995,0.68397,0.92588,0.57773,1.0722,0.000189842,0.000189842,0.000189842
