epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,190.363,0.63922,0.61294,0.90116,0.92198,0.98743,0.995,0.65159,0.95975,0.71076,1.10649,0.000533558,0.000533558,0.000533558
44,194.677,0.66278,0.60842,0.91789,0.94267,0.96638,0.995,0.70031,0.93671,0.685,1.09571,0.000519809,0.000519809,0.000519809
45,198.969,0.65282,0.56449,0.9078,0.94362,0.99892,0.99244,0.66693,0.98874,0.73937,1.118,0.00050606,0.00050606,0.00050606
46,203.379,0.66683,0.5797,0.90644,0.91263,1,0.92867,0.61369,1.00069,0.69445,1.11318,0.000492312,0.000492312,0.000492312
47,207.458,0.68324,0.60845,0.93699,0.91397,0.98099,0.96167,0.62081,1.00445,0.689,1.12001,0.000478563,0.000478563,0.000478563
48,211.664,0.61238,0.56471,0.89596,0.91807,0.9781,0.99378,0.62833,1.01049,0.70352,1.11798,0.000464815,0.000464815,0.000464815
49,215.884,0.64498,0.55957,0.90938,0.92909,0.97957,0.995,0.64068,1.01111,0.68882,1.11317,0.000451066,0.000451066,0.000451066
50,220.261,0.61273,0.54896,0.88627,0.95338,0.99131,0.99444,0.61301,1.04192,0.68371,1.134,0.000437317,0.000437317,0.000437317
51,224.683,0.62516,0.56559,0.90592,0.97023,0.9899,0.99444,0.65651,0.95943,0.65055,1.09863,0.000423569,0.000423569,0.000423569
52,229.04,0.62277,0.56643,0.91246,0.93466,0.9729,0.995,0.60862,0.99757,0.66769,1.13865,0.00040982,0.00040982,0.00040982
53,233.4,0.63515,0.56667,0.90088,0.95519,0.99254,0.995,0.61988,0.99146,0.66226,1.14622,0.000396071,0.000396071,0.000396071
54,237.725,0.6243,0.55063,0.89239,0.9561,0.99321,0.995,0.66595,0.98971,0.64818,1.14284,0.000382323,0.000382323,0.000382323
55,242.265,0.61141,0.54705,0.90703,0.9656,0.97625,0.995,0.60176,1.03007,0.64597,1.16171,0.000368574,0.000368574,0.000368574
56,246.555,0.61729,0.53181,0.89364,0.93406,0.97011,0.995,0.65094,0.97892,0.62866,1.1339,0.000354826,0.000354826,0.000354826
57,250.893,0.61059,0.53044,0.89737,0.93657,0.97292,0.995,0.66133,0.95867,0.62883,1.12322,0.000341077,0.000341077,0.000341077
58,255.318,0.58118,0.50653,0.87573,0.96122,0.9728,0.995,0.6532,0.97611,0.62507,1.13499,0.000327328,0.000327328,0.000327328
59,259.88,0.605,0.52163,0.89649,0.94123,0.97222,0.995,0.64081,0.99085,0.64127,1.12057,0.00031358,0.00031358,0.00031358
60,264.475,0.58712,0.52757,0.89561,0.94619,0.97879,0.99444,0.63764,0.99856,0.64867,1.12671,0.000299831,0.000299831,0.000299831
61,269.075,0.57158,0.50625,0.87812,0.96405,1,0.995,0.71617,0.90324,0.62904,1.1011,0.000286083,0.000286083,0.000286083
62,273.509,0.59619,0.4911,0.88769,0.96483,1,0.995,0.68976,0.93542,0.6124,1.11453,0.000272334,0.000272334,0.000272334
63,277.928,0.5643,0.4889,0.86452,0.97482,1,0.995,0.63665,0.94836,0.59656,1.11201,0.000258585,0.000258585,0.000258585
64,282.422,0.57117,0.50665,0.88614,0.92514,1,0.995,0.622,0.99561,0.60139,1.133,0.000244837,0.000244837,0.000244837
