epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,190.538,0.67072,0.70994,0.89299,0.94801,0.99651,0.995,0.72478,0.96086,0.83712,1.11005,0.000447796,0.000447796,0.000447796
43,194.857,0.64433,0.72002,0.87858,0.9325,0.97951,0.995,0.70743,0.97789,0.84671,1.09879,0.000436547,0.000436547,0.000436547
44,198.926,0.66638,0.71062,0.89099,0.90815,0.99626,0.995,0.71399,0.9392,0.80885,1.07339,0.000425298,0.000425298,0.000425298
45,203.182,0.64731,0.68319,0.87655,0.93242,1,0.995,0.68685,1.01601,0.7913,1.10314,0.000414049,0.000414049,0.000414049
46,207.569,0.64963,0.68245,0.8816,0.94106,1,0.995,0.73199,0.96609,0.78121,1.09945,0.000402801,0.000402801,0.000402801
47,211.588,0.62826,0.66091,0.89078,0.9565,0.98072,0.995,0.73549,0.92547,0.76583,1.07463,0.000391552,0.000391552,0.000391552
48,215.669,0.6249,0.66439,0.87857,0.95413,0.97507,0.995,0.7295,0.92095,0.76301,1.06018,0.000380303,0.000380303,0.000380303
49,219.934,0.62483,0.69022,0.88732,0.93684,1,0.995,0.72878,1.0443,0.82563,1.10734,0.000369054,0.000369054,0.000369054
50,224.187,0.60814,0.66386,0.85636,0.93681,0.99697,0.995,0.74606,0.97742,0.78675,1.08162,0.000357805,0.000357805,0.000357805
51,228.451,0.60254,0.67607,0.86597,0.93867,0.99621,0.995,0.75379,0.91585,0.77796,1.05642,0.000346556,0.000346556,0.000346556
52,232.777,0.60281,0.68377,0.87511,0.94095,0.96019,0.995,0.756,0.87988,0.76753,1.05238,0.000335307,0.000335307,0.000335307
53,236.982,0.61647,0.6774,0.87563,0.92031,0.99025,0.995,0.71092,0.95375,0.74878,1.09496,0.000324058,0.000324058,0.000324058
54,241.356,0.59759,0.64213,0.87051,0.92566,1,0.995,0.71544,1.01086,0.7613,1.1323,0.00031281,0.00031281,0.00031281
55,245.761,0.56802,0.64171,0.85793,0.95361,0.97865,0.995,0.69886,1.03323,0.74637,1.14427,0.000301561,0.000301561,0.000301561
56,249.984,0.58222,0.61062,0.87365,0.943,0.978,0.995,0.7076,0.99842,0.74218,1.12075,0.000290312,0.000290312,0.000290312
57,254.332,0.58684,0.62866,0.86461,0.9367,0.98033,0.995,0.71393,0.99719,0.71711,1.12018,0.000279063,0.000279063,0.000279063
58,258.946,0.59022,0.59106,0.8672,0.94698,0.97583,0.995,0.70708,1.0233,0.69709,1.13211,0.000267814,0.000267814,0.000267814
59,263.515,0.57694,0.61794,0.86028,0.92259,0.98779,0.98321,0.68092,1.03704,0.70936,1.14163,0.000256565,0.000256565,0.000256565
60,267.696,0.56556,0.62037,0.87894,0.93003,0.98596,0.98321,0.69108,1.00761,0.70926,1.1359,0.000245316,0.000245316,0.000245316
61,271.896,0.57375,0.59086,0.87204,0.95506,0.99533,0.995,0.71588,0.96341,0.70713,1.11181,0.000234068,0.000234068,0.000234068
62,276.128,0.57562,0.56277,0.85925,0.94895,1,0.995,0.7093,0.97367,0.70621,1.10647,0.000222819,0.000222819,0.000222819
63,280.279,0.5743,0.55809,0.85848,0.94558,0.99446,0.995,0.70568,0.97587,0.70141,1.10296,0.00021157,0.00021157,0.00021157
64,284.506,0.54942,0.59456,0.8662,0.96243,0.98227,0.995,0.70788,0.98086,0.70143,1.10516,0.000200321,0.000200321,0.000200321
65,288.751,0.5573,0.58064,0.85466,0.95825,0.97968,0.995,0.71361,0.95867,0.70524,1.08971,0.000189072,0.000189072,0.000189072
