epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,191.475,0.5479,0.62124,0.8565,0.98027,1,0.995,0.62562,0.94656,0.69907,1.03791,0.000436547,0.000436547,0.000436547
44,195.854,0.59111,0.60806,0.85912,0.95277,0.98677,0.995,0.65552,0.94628,0.78353,1.03827,0.000425298,0.000425298,0.000425298
45,200.16,0.55848,0.56983,0.86073,0.98055,0.97981,0.995,0.64361,0.98502,0.72686,1.0598,0.000414049,0.000414049,0.000414049
46,204.533,0.59484,0.57439,0.85075,0.94877,0.99261,0.99444,0.62568,1.01451,0.7314,1.07691,0.000402801,0.000402801,0.000402801
47,208.543,0.57348,0.59322,0.86504,0.95709,0.98291,0.99444,0.6463,0.97935,0.71231,1.05967,0.000391552,0.000391552,0.000391552
48,212.548,0.57121,0.56822,0.85911,0.94962,0.99202,0.99378,0.64038,1.0082,0.70485,1.06506,0.000380303,0.000380303,0.000380303
49,216.91,0.59115,0.58949,0.86946,0.96164,0.9809,0.98394,0.60883,1.02004,0.71168,1.07506,0.000369054,0.000369054,0.000369054
50,221.292,0.5601,0.55419,0.8323,0.97442,0.97666,0.98394,0.61762,1.01089,0.72096,1.08036,0.000357805,0.000357805,0.000357805
51,225.632,0.54933,0.58468,0.84835,0.96897,0.97957,0.98856,0.64634,0.96946,0.70039,1.05875,0.000346556,0.000346556,0.000346556
52,229.923,0.56238,0.59028,0.85895,0.95629,0.98027,0.995,0.66825,0.99645,0.69759,1.08009,0.000335307,0.000335307,0.000335307
53,234.129,0.56268,0.57934,0.85045,0.94988,0.97961,0.995,0.69364,0.9306,0.6982,1.04423,0.000324058,0.000324058,0.000324058
54,238.781,0.54177,0.56575,0.85051,0.96029,0.96796,0.995,0.7263,0.86278,0.68553,1.00524,0.00031281,0.00031281,0.00031281
55,243.085,0.52337,0.5639,0.83241,0.96948,0.97389,0.995,0.6994,0.93845,0.66723,1.04823,0.000301561,0.000301561,0.000301561
56,247.466,0.5254,0.52829,0.83394,0.9584,0.98367,0.995,0.64367,0.99326,0.6454,1.06571,0.000290312,0.000290312,0.000290312
57,251.794,0.53481,0.56815,0.84367,0.94505,0.98565,0.995,0.63193,0.99908,0.63296,1.05917,0.000279063,0.000279063,0.000279063
58,256.01,0.51445,0.53919,0.83581,0.9619,0.97656,0.995,0.63778,0.99023,0.6485,1.05307,0.000267814,0.000267814,0.000267814
59,260.14,0.51638,0.54198,0.83624,0.95442,0.9765,0.995,0.66208,0.95356,0.63589,1.03962,0.000256565,0.000256565,0.000256565
60,264.299,0.51123,0.53291,0.83769,0.92485,0.98036,0.995,0.67844,0.92931,0.63983,1.02806,0.000245316,0.000245316,0.000245316
61,268.567,0.51978,0.53584,0.84905,0.9356,0.98694,0.995,0.69443,0.90347,0.62499,1.0083,0.000234068,0.000234068,0.000234068
62,272.564,0.51977,0.49375,0.83792,0.97138,0.97341,0.995,0.66084,0.95753,0.6394,1.04026,0.000222819,0.000222819,0.000222819
63,276.635,0.51391,0.5063,0.84311,0.96974,0.96827,0.995,0.67305,0.95464,0.63443,1.03984,0.00021157,0.00021157,0.00021157
64,280.695,0.4995,0.50529,0.85126,0.97752,0.95374,0.995,0.68088,0.92125,0.63693,1.02885,0.000200321,0.000200321,0.000200321
65,284.864,0.52006,0.49998,0.84277,0.93067,1,0.995,0.66145,0.95585,0.63658,1.04699,0.000189072,0.000189072,0.000189072
66,288.951,0.48481,0.49874,0.84151,0.93178,0.99188,0.995,0.65147,0.9458,0.6341,1.04527,0.000177823,0.000177823,0.000177823
67,293.208,0.49407,0.50451,0.83652,0.95547,0.97435,0.995,0.67596,0.90995,0.61991,1.02643,0.000166574,0.000166574,0.000166574
68,297.265,0.49827,0.48291,0.83294,0.95938,0.97353,0.99244,0.63054,0.97232,0.6291,1.057,0.000155325,0.000155325,0.000155325
69,301.399,0.5131,0.4957,0.84815,0.96154,0.97337,0.99111,0.63619,1.01159,0.64929,1.07616,0.000144077,0.000144077,0.000144077
70,305.642,0.50092,0.48784,0.83928,0.96195,0.97345,0.99444,0.66527,0.95607,0.63056,1.05169,0.000132828,0.000132828,0.000132828
71,309.612,0.49493,0.57291,0.80884,0.95544,0.97841,0.99378,0.65217,0.95135,0.6294,1.04491,0.000121579,0.000121579,0.000121579
72,313.349,0.47899,0.56538,0.82589,0.93398,0.98557,0.99311,0.64088,0.99912,0.65648,1.05962,0.00011033,0.00011033,0.00011033
73,317.021,0.44769,0.55177,0.81778,0.94557,0.96541,0.99378,0.64436,1.00463,0.66318,1.06247,9.9081e-05,9.9081e-05,9.9081e-05
74,320.743,0.47573,0.55124,0.82301,0.95302,0.95305,0.99378,0.66471,0.9632,0.6455,1.04321,8.78321e-05,8.78321e-05,8.78321e-05
75,324.674,0.46347,0.53901,0.83033,0.94894,0.96187,0.99311,0.6835,0.95801,0.637,1.04905,7.65832e-05,7.65832e-05,7.65832e-05
76,328.696,0.44975,0.52132,0.81077,0.92936,0.97751,0.99311,0.64904,0.98135,0.63046,1.06611,6.53344e-05,6.53344e-05,6.53344e-05
77,332.728,0.45049,0.51153,0.81899,0.92383,0.98438,0.99311,0.64655,0.99046,0.63933,1.0731,5.40855e-05,5.40855e-05,5.40855e-05
78,336.675,0.44227,0.51319,0.81674,0.92439,0.9854,0.995,0.64749,0.97246,0.63125,1.06263,4.28366e-05,4.28366e-05,4.28366e-05
79,340.582,0.45202,0.52171,0.81624,0.92158,0.9977,0.995,0.66823,0.94901,0.61397,1.05003,3.15878e-05,3.15878e-05,3.15878e-05
80,344.435,0.45003,0.51568,0.83151,0.91939,1,0.995,0.65807,0.95397,0.60958,1.05165,2.03389e-05,2.03389e-05,2.03389e-05
